Planet,eclipse_observed,b_occ_median,k_nominal,prob_false_eclipse,prob_grazing_eclipse,prob_true_eclipse,dominant_regime
WASP-130b,False,0.5099,0.0953,0.0015,0.0055,0.993,True Eclipse
TOI-2427b,False,0.8411,0.0254,0.0,0.0,0.0,False Eclipse
L168-9b,False,0.7053,0.0247,0.056,0.0292,0.9148,True Eclipse
TOI-216.01,False,0.1651,0.1235,0.0,0.0,1.0,True Eclipse
TOI-1807b,False,0.4944,0.0182,0.0085,0.0008,0.9906,True Eclipse
HATS-30b,False,0.4656,0.1137,0.003,0.005,0.992,True Eclipse
TOI-4153b,False,0.1844,0.0921,0.0,0.0,1.0,True Eclipse
TOI-1181b,False,0.2087,0.0764,0.0,0.0,1.0,True Eclipse
TOI-2570b,False,0.3234,0.1142,0.0,0.0,1.0,True Eclipse
HATS-4b,False,0.2183,0.1132,0.0,0.0,1.0,True Eclipse
HAT-P-62b,False,0.236,0.0942,0.0,0.0,1.0,True Eclipse
HD23472f,False,0.5933,0.0148,0.0733,0.0138,0.9129,True Eclipse
TOI-257b,False,0.6203,0.0352,0.0075,0.0023,0.9902,True Eclipse
WASP-175b,False,0.6161,0.1031,0.0081,0.0262,0.9657,True Eclipse
TOI-2134c,False,1.5021,0.094,0.657,0.0773,0.2657,False Eclipse
WASP-158b,False,0.3075,0.0791,0.008,0.0022,0.9898,True Eclipse
TOI-4994b,False,0.2799,0.0742,0.0006,0.0038,0.9956,True Eclipse
K2-238b,False,0.5646,0.08,0.0301,0.0542,0.9157,True Eclipse
WASP-162b,False,0.183,0.0926,0.0,0.0,1.0,True Eclipse
KELT-15b,False,0.2057,0.1001,0.0,0.0004,0.9996,True Eclipse
LP791-18c,False,0.1414,0.1226,0.0,0.0,1.0,True Eclipse
TIC46432937b,False,0.8056,0.2301,0.0094,0.6025,0.388,Grazing Eclipse
TOI-3819b,False,0.7848,0.0783,0.0387,0.1048,0.8565,True Eclipse
TOI-181b,False,0.3951,0.0854,0.0,0.0,1.0,True Eclipse
TOI-2803Ab,False,0.0924,0.1334,0.0,0.0,1.0,True Eclipse
WASP-53b,False,0.5466,0.1383,0.0,0.0,0.0,False Eclipse
TOI-199b,False,0.5836,0.1015,0.0,0.0,0.0,False Eclipse
HAT-P-25b,False,0.3327,0.1269,0.0,0.0,1.0,True Eclipse
TOI-3331Ab,False,0.5656,0.125,0.0,0.0,1.0,True Eclipse
Kepler-25c,False,0.8836,0.0364,0.0,0.0003,0.9997,True Eclipse
