Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction,Star Name,Star Temperature [K],Star H Mag,Star J Mag,Planet Period [days],Eccentricity,Inclination,Impact Parameter,Transit Depth [%],Planet Radius [Rjup],Planet Radius [Re],observed_flag
TOI-2477.01,TPC,,0.0116176484759228,-0.2142997064795587,0.2346883189109753,0.2350565591334483,0.2259173549554816,0.2230706704350525,0.037188708,1.037188708,1,Premium (non-grazing),0.49684375,TOI-2477,7505.23,9.697,9.788,34.7769296,0,90,0,0.1383,0.710211214,7.960743807,False
TOI-2481.01,TPC,,0.0083478166432088,-0.1986937361474122,0.2201588679870524,0.218503080045036,0.2070415527906211,0.2118110513438435,0.035496479,1.035496479,1,Premium (non-grazing),0.498375,TOI-2481,5567.0,9.683,10.024,11.994832,0,90,0,0.126,0.298498726,3.345866465,False
TOI-2484.01,TPC,,-0.0020033818403273,-0.1594117202812766,0.1536765348730091,0.166461712185044,0.1574083384409493,0.1556799167133364,0.054497706,1.054497706,1,Premium (non-grazing),0.4944583333333333,TOI-2484,5632.0,9.952,10.26,8.3272872,0,90,0,0.297,0.470546973,5.274351955,False
TOI-2486.01,TPC,,-0.0011121141606064,-0.051981112329828,0.0495986403462658,0.053560006483071,0.0508689981692215,0.0507107545068723,0.038858718,1.038858718,1,Premium (non-grazing),0.493,TOI-2486,4205.0,9.493,10.108,1.5411764,0,90,0,0.151,0.29294231,3.283584705,False
TOI-2487.01,TPC,,-0.0019668190090113,-0.0688615819479236,0.063627308529081,0.0699854084550398,0.0668947629389123,0.0655941275380924,0.122433656,1.122433656,1,Premium (non-grazing),0.4941770833333333,TOI-2487,6138.0,11.949,12.23,3.4024655,0,90,0,1.499,1.441381532,16.15641782,False
TOI-2488.01,TPC,,-0.0032765988623457,-0.0711669560551291,0.0678734697086696,0.0728343212082797,0.0678903571927833,0.0711500685710153,0.043973641,1.043973641,1,Premium (non-grazing),0.4943541666666667,TOI-2488,5403.0,9.638,9.964,10.7668398,0,90,0,0.19336811,0.992594708,11.12597495,False
TOI-2489.01,TPC,,-0.0001204701368124,-0.0408857558303786,0.0415362464745852,0.0437206169144129,0.0407652856935661,0.0416567166113977,0.053681567,1.053681567,1,Premium (non-grazing),0.4958020833333333,TOI-2489,5309.5,10.169,10.527,1.426951,0,90,0,0.288171064,0.534654646,5.992933628,False
TOI-2491.01,TPC,,-0.0003070198069809,-0.0912721508221528,0.0933229939522798,0.0967607216281818,0.0909651310151718,0.0936300137592608,0.11394971,1.11394971,1,Premium (non-grazing),0.4929166666666666,TOI-2491,8343.0,10.583,10.652,5.92777,0,90,0,1.298453647,1.727098037,19.35900862,False
TOI-2494.01,TPC,,0.0084440175243248,-0.1503727041644178,0.1615971601519218,0.1621339946033431,0.1588167216887426,0.153153142627597,0.095184032,1.095184032,1,Premium (non-grazing),0.49475,TOI-2494,5376.0,9.66,10.042,8.3761316,0,90,0,0.906,0.834031532,9.348643371,False
TOI-2500.01,TPC,,0.0023341343379325,-0.0512542985587803,0.0563433915781846,0.0569531447615462,0.0535884328967129,0.054009257240252,0.08043631,1.08043631,1,Premium (non-grazing),0.4941041666666667,TOI-2500,7837.0,11.203,11.289,2.955314,0,90,0,0.647,1.235380524,13.84735648,False
TOI-2513.01,TPC,,0.0009434030973878,-0.0362618379059404,0.039785646640096,0.0402830556870509,0.0372052410033283,0.0388422435427081,0.023021729,1.023021729,1,Premium (non-grazing),0.4966874999999999,TOI-2513,6039.0,9.231,9.5,2.5577037,0,90,0,0.053,0.3817506,4.279035115,False
TOI-2516.01,TPC,,0.002685088511217,-0.0629878313139003,0.066359998612695,0.0681656329846624,0.0656729198251173,0.063674910101478,0.072732386,1.072732386,1,Premium (non-grazing),0.4974270833333333,TOI-2516,9567.0,9.737,9.733,5.4927168,0,90,0,0.529,1.677628167,18.8045018,False
TOI-252.01,TPC,,4.976353362729042e-05,-0.0357801549247213,0.0365831637210796,0.0381961626432641,0.0358299184583486,0.0365334001874523,0.04816635,1.04816635,1,Premium (non-grazing),0.4973645833333333,TOI-252,5071.0,10.389,10.834,1.0021853,0,90,0,0.231999723,0.410041663,4.596149099,False
TOI-2521.01,TPC,,-0.0013380715589995,-0.0643560458099956,0.0613606225299359,0.0656796801982987,0.063017974250996,0.0626986940889354,0.050199602,1.050199602,1,Premium (non-grazing),0.4973541666666666,TOI-2521,5730.0,9.839,10.161,5.563087,0,90,0,0.252,0.842623923,9.444955311,False
TOI-2522.01,TPC,,0.0014762184096016,-0.0558736354701682,0.0596931514246795,0.0605676382513548,0.0573498538797699,0.0582169330150779,0.018708287,1.018708287,1,Premium (non-grazing),0.4958645833333333,TOI-2522,5531.0,8.168,8.502,2.0988541,0,90,0,0.035,0.17600113,1.972793269,False
TOI-2526.01,TPC,,-0.0070132879935353,-0.1132702860103067,0.1039165249632254,0.1149920562014348,0.1062569980167713,0.1109298129567607,0.088825672,1.088825672,1,Premium (non-grazing),0.4958333333333333,TOI-2526,5923.0,10.171,10.435,8.011385,0,90,0,0.789,1.115806612,12.50705481,False
TOI-2527.01,TPC,,4.220193272641313e-05,-0.0192766054196202,0.0196776196410696,0.0206460693466351,0.0193188073523466,0.0196354177083431,0.035496479,1.035496479,1,Premium (non-grazing),0.4956770833333333,TOI-2527,6919.0,10.021,10.371,2.3018922,0,90,0,0.126,1.192278847,13.36423062,False
TOI-2533.01,TPC,,0.0023177167992951,-0.1116387656281365,0.1176906832205563,0.1198799615069504,0.1139564824274317,0.1153729664212612,0.08179242,1.08179242,1,Premium (non-grazing),0.4968854166666666,TOI-2533,6144.27,10.872,11.142,6.6857865,0,90,0,0.669,0.900457211,10.09320753,False
TOI-2538.01,TPC,,0.0008300594577516,-0.0242093394370845,0.0264778834601696,0.0263205191566645,0.0250393988948361,0.0256478240024179,0.038470768,1.038470768,1,Premium (non-grazing),0.4971666666666666,TOI-2538,7989.0,10.068,10.155,2.9103781,0,90,0,0.148,1.309046368,14.67307551,False
TOI-2539.01,TPC,,0.0013368527513869,-0.0239974010853052,0.0255706844919687,0.0258269391103134,0.0253342538366922,0.0242338317405818,0.036651586,1.036651586,1,Premium (non-grazing),0.4968333333333333,TOI-2539,5709.0,10.556,10.883,0.985586,0,90,0,0.134333878,0.492240483,5.517514092,False
TOI-2540.01,TPC,,0.0052830182215415,-0.229195621343679,0.2397646112495456,0.2498277635424954,0.2344786395652205,0.2344815930280041,0.033825714,1.033825714,1,Premium (non-grazing),0.4965,TOI-2540,4023.0,6.47,7.149,12.7187255,0,90,0,0.114417891,0.217602017,2.439096812,False
TOI-2540.02,TPC,,-0.0282151150859105,-0.3707131170975494,0.3184712072812171,0.3522693493829196,0.3424980020116388,0.3466863223671277,0.031921779,1.031921779,1,Premium (non-grazing),0.4937291666666666,TOI-2540,4023.0,6.47,7.149,22.0819969,0,90,0,0.1019,0.20535394,2.301808354,False
TOI-2541.01,TPC,,-0.0005498394446198,-0.0157653715490488,0.0145803100658443,0.0158413704998247,0.0152155321044289,0.0151301495104642,0.022803509,1.022803509,1,Premium (non-grazing),0.4921458333333333,TOI-2541,7902.0,9.595,9.629,1.4118418,0,90,0,0.052,0.780966473,8.753838152,False
