Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction
WASP-149b,MCS,False,0.5649501329237774,0.44416512884490134,0.6497243107652344,0.12715028451928956,0.12078500407887605,0.08477417784145702,0.1297,1.1297,1,Premium (non-grazing),0.4953854166666667
TIC393818343b,MCS,False,0.1797466811005985,0.041386734666133095,0.3376032761342982,0.15510029974088674,0.1383599464344654,0.1578565950336997,0.10295,1.10295,1,Premium (non-grazing),0.49809375
TOI-2407b,MCS,False,0.23310472526383358,0.1254681595895971,0.35171319990642197,0.11542099926325781,0.10763656567423649,0.11860847464258839,0.0689,1.0689,1,Premium (non-grazing),0.4955625
K2-406b,MCS,False,0.480333438551443,0.22294699305606605,0.7617344943490857,0.25806292573959594,0.2573864454953769,0.2814010557976427,0.0439,1.0439,1,Premium (non-grazing),0.4852916666666667
TOI-5803b,MCS,False,0.3204704229921733,0.07210012916245134,0.5992687832684356,0.2636670308066356,0.24837029382972198,0.27879836027626226,0.0393,1.0393,1,Premium (non-grazing),0.49097916666666663
HD42813b,MCS,False,0.22933415487878625,0.04171319796914932,0.4432437862283451,0.20533027912890495,0.18762095690963693,0.21390963134955884,0.03195,1.03195,1,Premium (non-grazing),0.4921041666666667
TOI-837b,MCS,False,0.8844577828272022,0.6913778210601681,0.9915360674880102,0.1933278990476945,0.19307996176703413,0.10707828466080793,0.0798,1.0798,1,Premium (non-grazing),0.43329166666666663
LP714-47b,MCS,False,0.724911418884264,0.560976527198237,0.8527622472490813,0.1607993783227455,0.16393489168602704,0.12785082836481731,0.0751,1.0751,1,Premium (non-grazing),0.49145833333333333
WASP-26b,MCS,True,0.8079770449145677,0.6336396910986127,0.9382749327460815,0.1672424330425449,0.17433735381595494,0.13029788783151386,0.101920368,1.101920368,1,Premium (non-grazing),0.483875
WASP-74b,MCS,True,0.830868987050855,0.6505459674930447,0.9325785453392018,0.16148537256756124,0.18032301955781027,0.10170955828834682,0.0984206,1.0984206,1,Premium (non-grazing),0.47785416666666664
K2-107b,MCS,False,0.7700733378900357,0.596176358782479,0.9068787096732205,0.16704376495209744,0.17389697910755675,0.13680537178318475,0.083,1.083,1,Premium (non-grazing),0.48381250000000003
WASP-184b,MCS,False,0.4153497637348218,0.24358238124157033,0.6016646857981834,0.17998214547120084,0.17176738249325146,0.18631492206336164,0.082832952,1.082832952,1,Premium (non-grazing),0.49669791666666663
LHS1678d,MCS,False,0.7364395448368761,0.5664791297438325,0.8718692553112637,0.20482114683284106,0.1699604150930436,0.13542971047438757,0.0273,1.0273,1,Premium (non-grazing),0.45967708333333335
