Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_minus_k,one_plus_k,acceptance_fraction
TOI-3214.01,TPC,,0.0009159605253454538,-0.08397059733988994,0.08806527138772395,0.09012146886785045,0.0848865578652354,0.0871493108623785,0.095026312,0.904973688,1.095026312,0.4961979166666667
TOI-3219.01,TPC,,0.0008692127253443337,-0.046814554083966585,0.04845702742134783,0.050804671458935524,0.04768376680931092,0.0475878146960035,0.094127573,0.905872427,1.094127573,0.4938125
TOI-322.01,TPC,,0.00025780020554328907,-0.04694828668700659,0.04865761950527898,0.0503014912806565,0.047206086892549876,0.04839981929973569,0.057501349,0.942498651,1.057501349,0.49635416666666665
TOI-3223.01,TPC,,0.000661267990306166,-0.050673433298548475,0.05054382684601564,0.053185616830643795,0.05133470128885464,0.049882558855709476,0.219339919,0.780660081,1.219339919,0.49726041666666665
TOI-3225.01,TPC,,-0.004972447097572454,-0.1847315847793976,0.17005666514950252,0.18603027906890487,0.17975913768182517,0.17502911224707496,0.055767374,0.944232626,1.055767374,0.4973958333333333
TOI-3228.01,TPC,,5.9302224833788456e-06,-0.023509794592713493,0.024168911411532316,0.025203909996464498,0.023515724815196874,0.024162981189048936,0.074229374,0.925770626,1.074229374,0.49441666666666667
TOI-3229.01,TPC,,0.0004978951737725564,-0.06474250472957602,0.06344129656360974,0.06781506967758705,0.06524039990334857,0.06294340138983719,0.09460444,0.90539556,1.09460444,0.49409374999999994
TOI-3231.01,TPC,,0.00019023228322961023,-0.021452338899463446,0.0215423944318356,0.022543389287924213,0.021642571182693058,0.02135216214860599,0.052249402,0.947750598,1.052249402,0.49646875
TOI-3232.01,TPC,,-0.0003158273524382793,-0.02619182076142763,0.0259811129607337,0.02722256453314014,0.025875993408989353,0.02629694031317198,0.042895221,0.957104779,1.042895221,0.4944479166666667
TOI-3233.01,TPC,,0.0005335525662447834,-0.017374986793449353,0.018963397614092745,0.019053410383695825,0.017908539359694137,0.018429845047847962,0.08228001,0.91771999,1.08228001,0.49671875
TOI-3238.01,TPC,,-0.003056818369940821,-0.08664380561435374,0.07693373238185802,0.08621075173794719,0.08358698724441292,0.07999055075179884,0.106536379,0.893463621,1.106536379,0.4942708333333333
TOI-3240.01,TPC,,-0.0014072013520628535,-0.10173927789371619,0.10086701060027083,0.10684348944319738,0.10033207654165334,0.10227421195233367,0.130230565,0.869769435,1.130230565,0.49604166666666666
TOI-3241.01,TPC,,0.00480942101503945,-0.1303241277260596,0.1428543130229829,0.14236768599757743,0.13513354874109906,0.13804489200794345,0.184526421,0.8154735790000001,1.184526421,0.4978541666666667
TOI-3242.01,TPC,,-0.0015120743463023023,-0.05473585228971868,0.053323240734431426,0.05737842647132519,0.05322377794341638,0.05483531508073373,0.102956301,0.897043699,1.102956301,0.49746875
TOI-3244.01,TPC,,-0.003017963548175688,-0.05251198173334812,0.04557333486701795,0.05084958167918133,0.04949401818517243,0.04859129841519364,0.07981228,0.92018772,1.07981228,0.49629166666666663
TOI-3245.01,TPC,,-1.8980347828550616e-06,-0.04625800717679922,0.04484160909455094,0.04757966788472132,0.04625610914201636,0.0448435071293338,0.100647901,0.899352099,1.100647901,0.49603125
TOI-3247.01,TPC,,-0.0023294603794682296,-0.05817133442208757,0.05182844663430303,0.057547851859469396,0.05584187404261934,0.05415790701377125,0.076288924,0.923711076,1.076288924,0.49621875
TOI-3248.01,TPC,,-0.002387788395852839,-0.0585679098914437,0.05357135536021786,0.059352562934292606,0.05618012149559086,0.055959143756070695,0.090994505,0.9090054949999999,1.090994505,0.4999895833333334
TOI-325.01,TPC,,0.001126218641916906,-0.08682964178376712,0.09292031018331678,0.09376030206405764,0.08795586042568403,0.09179409154139988,0.063007936,0.936992064,1.063007936,0.49595833333333333
TOI-3250.01,TPC,,0.0009359514346130522,-0.06316762617795946,0.06583505036630656,0.06755534911863154,0.06410357761257252,0.0648990989316935,0.099095913,0.900904087,1.099095913,0.497375
TOI-3252.01,TPC,,-0.005846622578294075,-0.10375270884821229,0.0904543699459587,0.10294456929534848,0.09790608626991822,0.09630099252425277,0.102029408,0.897970592,1.102029408,0.49352083333333335
TOI-3256.01,TPC,,-0.004101595975656642,-0.12536352019924904,0.1194669789139617,0.12857946214977214,0.1212619242235924,0.12356857488961834,0.066105976,0.933894024,1.066105976,0.49609375
TOI-3258.01,TPC,,0.0005706683684762494,-0.04535615890167138,0.04838980083412156,0.04878767056216633,0.04592682727014763,0.047819132465645314,0.047539457,0.952460543,1.047539457,0.4938125
TOI-3259.01,TPC,,0.0007579445656824371,-0.08742255558594594,0.08666014810250733,0.09121255067686185,0.08818050015162839,0.08590220353682489,0.123450395,0.876549605,1.123450395,0.49293750000000003
TOI-326.01,TPC,,-5.211770802305835e-05,-0.007719880733238357,0.007749573683894051,0.008126981502459699,0.007667763025215299,0.007801691391917109,0.080282813,0.919717187,1.080282813,0.4950833333333333
TOI-3264.01,TPC,,-0.0004279134044729404,-0.05482388064678325,0.05353784864578034,0.05698576065646189,0.05439596724231031,0.05396576205025328,0.094339811,0.905660189,1.094339811,0.4951770833333333
TOI-3266.01,TPC,,0.0001170506526644388,-0.0763352373080239,0.0764699803622724,0.07901332543966248,0.07645228796068834,0.07635292970960796,0.081670068,0.918329932,1.081670068,0.49640625
TOI-3267.01,TPC,,-0.0029587619881542753,-0.05046654845376828,0.0458651317200661,0.05095632813132917,0.047507786465614,0.04882389370822038,0.075762788,0.924237212,1.075762788,0.49611458333333336
