Planet,Dataset,eclipse_observed,b_occ_median,b_occ_16,b_occ_84,b_occ_std,b_occ_err_lower,b_occ_err_upper,k_rp_rs,one_plus_k,tier,tier_label,acceptance_fraction,Star Name,Star Temperature [K],Star H Mag,Star J Mag,Planet Period [days],Eccentricity,Inclination,Impact Parameter,Transit Depth [%],Planet Radius [Rjup],Planet Radius [Re],Planet Transit Temperature [K],Planet Eclipse Temperature [K],observed_flag,abs_b_occ_84,abs_b_occ_median,lower_grazing,upper_grazing,grazing_depth
WASP-45b,MCS,False,0.8297493188723148,0.6461436342689478,0.9420637909801026,0.1635452998552621,0.183605684603367,0.1123144721077877,0.1137,1.1137,1,Premium (non-grazing),0.481,WASP-45,5150.0,10.365,10.75300026,3.12607728,0.0,85.02,0.866,1.29,0.946,10.60369577,1153.306267,1153.306267,False,0.9420637909801026,0.8297493188723148,0.8863,1.1137,0.055763790980102645
TOI-1898b,MCS,False,0.8582322765457007,0.616008665455621,1.0030298382217189,0.1913149090316392,0.2422236110900796,0.1447975616760179,0.0533987,1.0533987,2,Good (includes grazing),0.43421875,TOI-1898,6241.0,6.721,6.922999859,45.52234,0.485,87.86692581,0.699826,0.285140456,0.83821469,9.395532309,1017.737198,0.0,False,1.0030298382217189,0.8582322765457007,0.9466013,1.0533987,0.056428538221718894
TOI-700c,MCS,False,0.8684053511959968,0.6703876904469973,1.0018069367343154,0.3039262251151759,0.1980176607489995,0.1334015855383186,0.0573,1.0573,2,Good (includes grazing),0.4000520833333333,TOI-700,3461.0,8.893,9.468999863,16.051115,0.078,88.868,0.893,0.329,0.23641716,2.649995391,371.2078579,343.6313826,False,1.0018069367343154,0.8684053511959968,0.9427,1.0573,0.05910693673431544
TOI-1859b,MCS,False,0.8306444548195783,0.5841045912108556,0.9936508875181932,0.2001688113520586,0.2465398636087227,0.1630064326986149,0.066,1.066,1,Premium (non-grazing),0.43853125,TOI-1859,6341.0,9.26,9.479000092,63.48347,0.57,88.64,0.61,0.432147072,0.87,9.751813236,930.4567991,0.0,False,0.9936508875181932,0.8306444548195783,0.9339999999999999,1.066,0.05965088751819325
WASP-157b,MCS,False,0.8394028681825536,0.6327495709865925,0.965268101939171,0.1766451145324672,0.2066532971959611,0.1258652337566174,0.096509929,1.096509929,1,Premium (non-grazing),0.4755520833333333,WASP-157,5838.0,10.799,11.10999966,3.95161588,0.0,84.93,0.887,0.891,1.065,11.93756448,1303.395087,1303.395087,False,0.965268101939171,0.8394028681825536,0.903490071,1.096509929,0.061778030939171
TOI-1937Ab,MCS,False,0.8362828258157194,0.6478008960986285,0.9437680803410148,0.1680265106768086,0.188481929717091,0.1074852545252953,0.118652841,1.118652841,1,Premium (non-grazing),0.4830520833333334,TOI-1937A,5814.0,11.324,11.71700001,0.94667944,0.0,77.0,0.8653,1.41,1.247,13.97759897,2095.220163,2095.220163,False,0.9437680803410148,0.8362828258157194,0.881347159,1.118652841,0.062420921341014735
TOI-2368b,MCS,False,0.817532629246725,0.6310974496677205,0.9452436290794926,0.1693544496458853,0.1864351795790044,0.1277109998327675,0.11742,1.11742,1,Premium (non-grazing),0.4851979166666667,TOI-2368,5360.0,10.509,10.916,5.1750073,0.061,86.61,0.8239,1.283,0.967,10.83908437,1027.538409,975.1452097,False,0.9452436290794926,0.817532629246725,0.88258,1.11742,0.06266362907949252
WASP-150b,MCS,False,0.8964700484831272,0.6900916157900429,0.9962410818008262,0.171565940515002,0.2063784326930843,0.0997710333176989,0.066599681,1.066599681,1,Premium (non-grazing),0.4508645833333333,WASP-150,6218.0,10.789,11.05799961,5.6442072,0.3775,84.01,0.758,0.44,1.07,11.99360938,1579.291636,1579.291636,False,0.9962410818008262,0.8964700484831272,0.933400319,1.066599681,0.06284076280082618
TOI-1842b,MCS,False,0.8966498125124882,0.6625705985133775,1.00744706343716,0.1818781466654468,0.2340792139991107,0.1107972509246717,0.05571407,1.05571407,2,Good (includes grazing),0.4385208333333333,TOI-1842,6039.0,8.511,8.746999741,9.5739,0.276,84.23823227,0.781926,0.310398639,1.10166148,12.3485023,1530.092366,0.0,False,1.00744706343716,0.8966498125124882,0.94428593,1.05571407,0.0631611334371599
TOI-1518b,MCS,True,0.8758743125361805,0.688034290346048,0.9654029355014426,0.1608759189941659,0.1878400221901325,0.0895286229652621,0.0988,1.0988,1,Premium (non-grazing),0.4776354166666666,TOI-1518,7300.0,8.384,8.428999901,1.9026144,0.0,77.84,0.9036,0.976347027,1.875,21.01683887,2491.888495,2491.888495,True,0.9654029355014426,0.8758743125361805,0.9012,1.0988,0.06420293550144263
TOI-169b,MCS,False,0.8827541524074343,0.6909176117674257,0.9835529171930258,0.1655327991489346,0.1918365406400085,0.1007987647855915,0.0866,1.0866,1,Premium (non-grazing),0.4671770833333333,TOI-169,5880.0,10.896,11.18099976,2.2554454,0.0,80.98,0.9221,0.75,1.086,12.17295307,1714.64282,1714.64282,False,0.9835529171930258,0.8827541524074343,0.9134,1.0866,0.07015291719302585
TOI-4463Ab,MCS,False,0.8449041802044385,0.6462808144683592,0.9560651957541276,0.1723924477143446,0.1986233657360793,0.1111610155496891,0.114471051,1.114471051,1,Premium (non-grazing),0.4794166666666667,TOI-4463A,5640.0,9.454001,9.802000046,2.8807198,0.0,83.82,0.88,1.311,1.183,13.2602242,1395.253363,1395.253363,False,0.9560651957541276,0.8449041802044385,0.885528949,1.114471051,0.07053624675412762
NGTS-9b,MCS,False,0.8804666867798283,0.6813103751106813,0.9908907451058512,0.1684045034679916,0.199156311669147,0.1104240583260228,0.08,1.08,1,Premium (non-grazing),0.46378125,NGTS-9,6330.0,11.488,11.71199989,4.435272,0.06,84.1,0.925651733,0.634863369,1.07,11.99360938,1489.730653,1489.730653,False,0.9908907451058512,0.8804666867798283,0.92,1.08,0.07089074510585114
TOI-837b,MCS,False,0.8844577828272022,0.6913778210601681,0.9915360674880102,0.1933278990476945,0.1930799617670341,0.1070782846608079,0.0798,1.0798,1,Premium (non-grazing),0.4332916666666666,TOI-837,5995.0,9.108,9.392000198,8.324917,0.0,87.097,0.92,0.638478113,0.818,9.168946238,994.7553133,994.7553133,False,0.9915360674880102,0.8844577828272022,0.9202,1.0798,0.07133606748801014
WASP-75b,MCS,False,0.8572602557913287,0.6756397883023945,0.9692407590803452,0.1634227612089208,0.1816204674889342,0.1119805032890164,0.103578262,1.103578262,1,Premium (non-grazing),0.4736041666666666,WASP-75,6100.0,10.097,10.36200047,2.4841976,0.0,82.0,0.882,1.07,1.27,14.23540553,1705.032932,1705.032932,False,0.9692407590803452,0.8572602557913287,0.896421738,1.103578262,0.07281902108034521
TOI-1789b,MCS,False,0.9135802773011954,0.7030824953817484,1.0050260776608002,0.1686775732335572,0.210497781919447,0.0914458003596048,0.068,1.068,2,Good (includes grazing),0.4536770833333333,TOI-1789,5991.0,8.41,8.671999931,3.2087183,0.0,78.41,0.972,0.463,1.44,16.14093225,1927.572654,1927.572654,False,1.0050260776608002,0.9135802773011954,0.9319999999999999,1.068,0.07302607766080027
WASP-186b,MCS,False,0.8862199534930956,0.6952107013973157,0.998217954712696,0.1667236779877432,0.1910092520957799,0.1119980012196005,0.078,1.078,1,Premium (non-grazing),0.4651979166666666,WASP-186,6300.0,9.613,9.781000137,5.0267952,0.33,83.83662119,0.84,0.610395232,1.11,12.44196861,1592.630659,1592.630659,False,0.998217954712696,0.8862199534930956,0.922,1.078,0.07621795471269599
TOI-216.02,MCS,False,0.905397895072845,0.7078406261098238,0.9953905191175122,0.1633501421648311,0.1975572689630211,0.0899926240446672,0.0833,1.0833,1,Premium (non-grazing),0.4647708333333333,TOI-216,5026.0,10.332,10.75899982,17.203,0.132,88.364,0.948,0.707785715,0.68605585,7.689986803,612.4674985,630.9320359,False,0.9953905191175122,0.905397895072845,0.9167,1.0833,0.07869051911751224
TOI-6628b,MCS,False,0.8576204218357056,0.6657341140315192,0.9823080660915896,0.1696531801991054,0.1918863078041864,0.124687644255884,0.1,1.1,1,Premium (non-grazing),0.4732083333333333,TOI-6628,5463.0,10.943,11.317,18.18424,0.67,88.19,0.811,0.994214953,0.98,10.98480112,759.6916515,1149.383542,False,0.9823080660915896,0.8576204218357056,0.9,1.1,0.08230806609158958
WASP-93b,MCS,False,0.8830006928628742,0.6776822560135026,0.9801731942529152,0.1674916568703695,0.2053184368493715,0.097172501390041,0.107685045,1.107685045,1,Premium (non-grazing),0.4751562499999999,WASP-93,6700.0,9.997,10.2329998,2.73253774,0.0,81.18,0.9036,1.097,1.597,17.90074223,1944.194491,1944.194491,False,0.9801731942529152,0.8830006928628742,0.892314955,1.107685045,0.08785823925291514
BD-143065b,MCS,True,0.9196961336334832,0.7157492231543862,1.0043300691880357,0.1650311369678797,0.203946910479097,0.0846339355545524,0.0843,1.0843,2,Good (includes grazing),0.4555208333333334,BD-143065A,6935.0,9.975,10.14299965,4.2889731,0.066,80.78,0.9099,0.649,1.926,21.58849689,2057.490518,1950.412898,True,1.0043300691880357,0.9196961336334832,0.9157,1.0843,0.08863006918803573
TOI-201b,MCS,False,0.8844048703405132,0.6678217771259959,1.011506533209599,0.1800985669878516,0.2165830932145173,0.1271016628690857,0.0789,1.0789,2,Good (includes grazing),0.4496875,TOI-201,6394.0,7.923,8.102999687,52.978197,0.28,88.88,0.71786627,0.622521,1.011177354,11.33426748,746.053077,0.0,False,1.011506533209599,0.8844048703405132,0.9211,1.0789,0.0904065332095989
TrES-3b,MCS,True,0.8260882931028152,0.6611020309613864,0.927578670443262,0.1612000031447762,0.1649862621414287,0.1014903773404467,0.1655,1.1655,1,Premium (non-grazing),0.4907291666666666,TrES-3,5650.0,10.655,11.01500034,1.306186348,0.0,81.85,0.84,2.739,1.336,14.97519826,1641.166436,1641.166436,True,0.927578670443262,0.8260882931028152,0.8345,1.1655,0.09307867044326201
TOI-2154b,MCS,False,0.8537284270482556,0.6558171636606297,0.9912544991444466,0.1764600710345694,0.1979112633876258,0.137526072096191,0.10693,1.10693,1,Premium (non-grazing),0.4696354166666666,TOI-2154,6280.0,9.864,10.15400028,3.8240801,0.117,83.37,0.8636,1.143,1.453,16.286649,1637.02587,1541.180297,False,0.9912544991444466,0.8537284270482556,0.89307,1.10693,0.0981844991444466
WASP-174b,MCS,False,0.9194716323857824,0.7008707845310856,0.9993350048410484,0.1712104659772105,0.2186008478546967,0.0798633724552659,0.1098,1.1098,1,Premium (non-grazing),0.4693333333333333,WASP-174,6399.0,10.599,10.84500027,4.2336995,0.0,83.78,0.953,1.201847132,1.437,16.10730531,1526.255985,1526.255985,False,0.9993350048410484,0.9194716323857824,0.8902,1.1098,0.10913500484104843
